,client_id,frequency,avg_pagetime,avg_unique_pageviews,transactions,goal2_completions,goal3_completions,goal4_completions,month,date,hour,minute,os,medium,channel,region,browser,device_category,stage,prev_stage1,prev_stage2,prev_stage3,ground_truth
29,GA1146901122.1592402490,6,4.666666666666667,1.6666666666666667,0,0,0,0,6,17,10,26,iOS,cpc,Paid Search,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
30,GA1036347764.1591043238,44,5.431818181818182,3.159090909090909,9,9,9,9,6,1,14,6,Windows,cpc,Paid Search,British Columbia,Chrome,desktop,Buyer,Window,Buyer,Buyer,Immediate Buyer
31,GA1195020081.1589898059,4,4.5,2.0,0,0,0,0,6,10,12,59,Android,referral,Social,Ontario,Android Webview,mobile,Normal,Normal,Normal,Normal,Other Customers
32,GA1147013819.1599632487,2,8.0,2.0,0,0,0,0,9,8,23,21,Android,organic,Organic Search,British Columbia,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
33,GA1217615389.1591316392,2,1.0,1.0,0,0,0,0,6,4,17,19,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
34,GA1119559963.1593100894,18,9.333333333333334,2.1666666666666665,0,0,0,0,6,25,9,6,iOS,organic,Organic Search,Ontario,Safari,mobile,Window,Window,Normal,Window,Hesistant Customer
35,GA1089386363.1599194146,4,2.0,1.5,0,0,0,0,9,3,21,39,Macintosh,organic,Organic Search,Northwest Territories,Chrome,desktop,Normal,Normal,Normal,Normal,Other Customers
36,GA1204785673.1590890509,30,6.733333333333333,2.0,0,0,0,0,5,30,19,16,Android,organic,Organic Search,Quebec,Samsung Internet,mobile,Normal,Normal,Normal,Normal,Other Customers
37,GA1177531249.1595484311,18,6.888888888888889,2.3333333333333335,0,0,0,0,7,22,23,13,Macintosh,organic,Organic Search,British Columbia,Safari,desktop,Normal,Normal,Normal,Normal,Window Shoppers
38,GA1023221163.1599682213,9,6.666666666666667,1.6666666666666667,0,0,0,0,9,9,13,12,Android,organic,Organic Search,Nova Scotia,Samsung Internet,tablet,Window,Window,Normal,Window,Other Customers
39,GA1070197554.1599511502,2,1.0,1.0,0,0,0,0,9,7,13,45,iOS,(none),Direct,Nova Scotia,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
40,GA1003672938.1591098928,63,15.444444444444445,2.111111111111111,0,0,0,0,6,2,6,3,Android,(none),Direct,Quebec,Samsung Internet,mobile,Normal,Buyer,Hesistant,Hesistant,Hesistant Customer
41,GA1122016718.1599107448,8,5.25,1.75,0,0,0,0,9,2,21,33,Macintosh,cpc,Paid Search,British Columbia,Chrome,desktop,Normal,Normal,Normal,Normal,Other Customers
42,GA1181635427.1593205728,28,5.571428571428571,2.0714285714285716,0,0,0,0,6,26,14,21,Android,organic,Organic Search,Quebec,Chrome,mobile,Normal,Normal,Normal,Normal,Window Shoppers
43,GA1051006138.1590769635,2,1.0,1.0,0,0,0,0,5,29,9,27,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
44,GA1169207326.1597957406,2,4.0,1.0,0,0,0,0,8,20,14,3,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
45,GA1097844186.1591445470,2,1.0,1.0,0,0,0,0,6,6,5,11,iOS,cpc,Display,Ontario,Safari,tablet,Normal,Normal,Normal,Normal,Other Customers
46,GA1230935031.1591086562,2,1.0,1.0,0,0,0,0,6,1,18,30,Android,cpc,Display,Ontario,Chrome,tablet,Normal,Normal,Normal,Normal,Other Customers
47,GA1075189301.1579941044,22,8.727272727272727,1.6363636363636365,0,0,0,0,7,15,22,20,Android,organic,Organic Search,British Columbia,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
48,GA1025019942.1594439589,2,2.0,3.0,0,0,0,0,7,10,20,53,iOS,cpc,Paid Search,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
49,GA1223620709.1591414326,4,0.0,1.0,0,0,0,0,6,5,20,32,iOS,cpc,Paid Search,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
50,GA1125150040.1591113896,4,7.5,1.5,0,0,0,0,6,2,9,5,iOS,referral,Social,Manitoba,Safari (in-app),tablet,Normal,Normal,Normal,Normal,Other Customers
51,GA1094049324.1598458288,2,4.0,1.0,0,0,0,0,8,26,9,11,Macintosh,organic,Organic Search,Quebec,Safari,desktop,Normal,Normal,Normal,Normal,Other Customers
52,GA1003609434.1590873897,2,1.0,1.0,0,0,0,0,5,30,14,24,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
53,GA1215494911.1599583620,10,9.4,1.6,0,0,0,0,9,8,9,51,Windows,cpc,Paid Search,Ontario,Chrome,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
54,GA1077188892.1599481881,2,0.0,1.0,0,0,0,0,9,7,5,31,iOS,cpc,Paid Search,Quebec,Chrome,tablet,Normal,Normal,Normal,Normal,Other Customers
55,GA1121014700.1591014593,2,1.0,1.0,0,0,0,0,6,1,5,29,Android,(none),Direct,Quebec,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
56,GA1075057604.1596564436,2,1.0,1.0,0,0,0,0,8,4,11,7,Android,(none),Direct,Quebec,Chrome,tablet,Normal,Normal,Normal,Normal,Other Customers
57,GA1053026887.1597808092,4,1.5,1.0,0,0,0,0,8,18,20,35,iOS,organic,Organic Search,Quebec,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
58,GA1036801876.1595715075,8,12.25,2.25,0,0,0,0,7,25,15,18,Windows,(none),Direct,Suez Governorate,Edge,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
59,GA1000154193.1592508430,4,4.5,1.0,0,0,0,0,6,18,12,26,Android,cpc,Display,Dubai,Samsung Internet,mobile,Normal,Normal,Normal,Normal,Other Customers
60,GA118466672.1592850349,20,7.2,2.1,0,0,0,0,6,22,11,35,Windows,organic,Organic Search,Alberta,Chrome,desktop,Normal,Normal,Normal,Normal,Window Shoppers
61,GA1186589175.1589308791,6,4.333333333333333,2.0,0,0,0,0,6,19,10,16,Android,referral,Social,Ontario,Android Webview,mobile,Normal,Normal,Normal,Normal,Other Customers
62,GA1160819533.1590800176,16,35.75,1.875,0,0,0,0,5,29,18,13,Windows,organic,Organic Search,Nova Scotia,Chrome,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
63,GA1096450123.1591879961,20,7.9,0.9,0,0,0,0,7,29,7,20,Android,cpc,Display,Dubai,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
64,GA1217553331.1595030324,12,12.833333333333334,1.5,0,0,0,0,7,17,17,4,Android,cpc,Paid Search,Ontario,Chrome,mobile,Normal,Normal,Normal,Normal,Hesistant Customer
65,GA1102339066.1593325414,4,2.5,1.5,0,0,0,0,6,27,23,24,Windows,cpc,Paid Search,Ontario,Chrome,desktop,Normal,Normal,Normal,Normal,Other Customers
66,GA1009056024.1590783965,18,16.0,1.0,0,0,0,0,5,30,2,0,iOS,organic,Organic Search,Prince Edward Island,Safari,tablet,Normal,Normal,Normal,Normal,Hesistant Customer
67,GA1221830472.1593388692,4,7.5,1.5,0,0,0,0,6,28,16,59,iOS,organic,Organic Search,Newfoundland and Labrador,Safari,tablet,Normal,Normal,Normal,Normal,Other Customers
68,GA1149486676.1592096112,2,5.0,1.0,0,0,0,0,6,14,21,52,Android,cpc,Display,British Columbia,Chrome,tablet,Normal,Normal,Normal,Normal,Other Customers
69,GA1087984525.1596257349,2,5.0,2.0,0,0,0,0,7,31,21,49,iOS,cpc,Paid Search,British Columbia,Safari,tablet,Normal,Normal,Normal,Normal,Other Customers
70,GA1126213702.1599263817,10,5.0,2.4,0,0,0,0,9,4,17,0,Android,organic,Organic Search,Nova Scotia,Chrome,mobile,Normal,Normal,Normal,Normal,Window Shoppers
71,GA1226080128.1594396658,20,8.8,1.9,0,0,0,0,7,10,9,9,Windows,cpc,Paid Search,Ontario,Edge,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
72,GA1158306130.1591749983,4,6.5,1.5,0,0,0,0,6,9,17,47,Android,cpc,Paid Search,Ontario,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
73,GA1014277169.1591328784,20,6.8,3.4,0,0,0,0,6,4,20,55,Windows,(none),Direct,Quebec,Chrome,desktop,Normal,Normal,Normal,Normal,Window Shoppers
74,GA1055001703.1591805604,8,6.25,4.25,0,0,0,0,6,10,9,16,iOS,cpc,Paid Search,Alberta,Safari,mobile,Normal,Normal,Normal,Normal,Window Shoppers
75,GA1171878859.1593206519,78,21.307692307692307,0.9615384615384616,0,0,0,0,6,26,19,7,Windows,organic,Organic Search,Nova Scotia,Chrome,desktop,Window,Window,Normal,Window,Hesistant Customer
76,GA1182458107.1591398775,14,3.7142857142857144,2.857142857142857,0,0,0,0,6,5,16,18,Windows,organic,Organic Search,Ontario,Chrome,desktop,Normal,Normal,Normal,Normal,Window Shoppers
77,GA1213697007.1596629819,144,7.6875,1.5,9,9,9,9,8,5,5,32,Windows,organic,Organic Search,Ontario,Chrome,desktop,Buyer,Window,Buyer,Buyer,Immediate Buyer
78,GA1154918710.1595035090,6,5.0,1.3333333333333333,0,0,0,0,7,17,18,20,Macintosh,organic,Organic Search,Manitoba,Safari,desktop,Normal,Normal,Normal,Normal,Other Customers
79,GA1101372517.1599005250,4,7.5,2.0,0,0,0,0,9,1,17,8,iOS,organic,Organic Search,Quebec,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
80,GA1222505667.1597687283,2,6.0,2.0,0,0,0,0,8,17,11,1,Macintosh,(none),Direct,Maharashtra,Chrome,desktop,Normal,Normal,Normal,Normal,Other Customers
81,GA1092058971.1591703901,2,11.0,1.0,0,0,0,0,6,9,4,58,Windows,referral,Social,(not set),Chrome,desktop,Normal,Normal,Normal,Normal,Other Customers
82,GA1172857127.1592324627,35,7.142857142857143,1.542857142857143,0,0,0,0,6,26,8,24,Android,organic,Organic Search,Quebec,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
83,GA1059668330.1591448326,10,9.8,1.4,0,0,0,0,6,6,6,2,iOS,referral,Social,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Hesistant Customer
84,GA1143829933.1599517610,10,19.6,1.2,0,0,0,0,9,7,15,32,Windows,organic,Organic Search,Quebec,Edge,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
85,GA1154301349.1590888302,2,1.0,1.0,0,0,0,0,5,30,18,25,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
86,GA1002496025.1591130559,4,4.0,3.0,0,0,0,0,6,2,13,43,Windows,organic,Organic Search,Alberta,Chrome,desktop,Normal,Normal,Normal,Normal,Window Shoppers
87,GA103575728.1595690646,2,3.0,3.0,0,0,0,0,7,25,8,24,Android,organic,Organic Search,Ontario,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
88,GA1118921444.1597450185,2,1.0,1.0,0,0,0,0,8,14,17,9,iOS,organic,Organic Search,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
89,GA1038108250.1597022787,2,0.0,1.0,0,0,0,0,8,9,18,26,Linux,(none),Direct,Oregon,Chrome,desktop,Normal,Normal,Normal,Normal,Other Customers
90,GA1169985232.1595559440,2,1.0,1.0,0,0,0,0,7,23,19,57,iOS,cpc,Paid Search,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
91,GA1219675848.1599537111,9,111.66666666666667,1.6666666666666667,0,0,0,0,9,7,21,9,iOS,referral,Social,Ontario,Safari (in-app),tablet,Window,Window,Normal,Window,Hesistant Customer
92,GA1136218369.1597895198,4,28.0,1.0,0,0,0,0,8,19,20,49,Android,cpc,Display,Manitoba,Android Webview,mobile,Normal,Normal,Normal,Normal,Other Customers
93,GA1157328261.1592581491,14,4.142857142857143,2.4285714285714284,0,0,0,0,6,19,8,50,Windows,cpc,Paid Search,Ontario,Chrome,desktop,Normal,Normal,Normal,Normal,Window Shoppers
94,GA10080595.1593136114,10,13.8,2.4,0,0,0,0,6,25,18,53,Windows,organic,Organic Search,California,Firefox,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
95,GA1147214265.1592434341,2,0.0,1.0,0,0,0,0,6,17,15,52,iOS,cpc,Display,British Columbia,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
96,GA1045046692.1593346351,7,0.0,1.0,0,7,0,0,6,28,5,12,iOS,(none),Direct,British Columbia,Safari,mobile,Normal,Buyer,Hesistant,Hesistant,Hesistant Customer
97,GA1054739147.1591796965,2,17.0,1.0,0,0,0,0,6,10,6,49,Android,(none),Direct,Ontario,Chrome,tablet,Normal,Normal,Normal,Normal,Other Customers
98,GA1174398491.1594685839,2,0.0,1.0,0,0,0,0,7,13,17,17,iOS,organic,Organic Search,New Brunswick,Safari,tablet,Normal,Normal,Normal,Normal,Other Customers
99,GA1194593302.1597803164,10,7.4,2.2,0,0,0,0,8,18,19,16,iOS,organic,Organic Search,Quebec,Safari,mobile,Normal,Normal,Normal,Normal,Window Shoppers
100,GA101155291.1597088396,10,6.8,2.4,0,0,0,0,8,10,14,49,iOS,organic,Organic Search,Newfoundland and Labrador,Safari,mobile,Normal,Normal,Normal,Normal,Window Shoppers
101,GA1091403638.1594785396,4,6.0,1.5,0,0,0,0,7,14,20,57,Android,cpc,Paid Search,British Columbia,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
102,GA1156208949.1598185456,2,3.0,1.0,0,0,0,0,8,23,5,24,iOS,organic,Organic Search,Quebec,Chrome,tablet,Normal,Normal,Normal,Normal,Other Customers
103,GA1116307641.1597161839,4,5.0,2.5,0,0,0,0,8,11,9,4,Windows,organic,Organic Search,Quebec,Edge,desktop,Normal,Normal,Normal,Normal,Window Shoppers
104,GA1163928336.1591551678,2,0.0,1.0,0,0,0,0,6,7,10,40,iOS,cpc,Paid Search,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
105,GA1092285642.1599618985,6,12.0,1.6666666666666667,0,0,0,0,9,8,19,38,Windows,referral,Referral,Alberta,Edge,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
106,GA1013613639.1599402192,8,10.0,2.0,0,0,0,0,9,6,7,26,Windows,cpc,Paid Search,Ontario,Edge,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
107,GA1046925461.1592225450,2,0.0,2.0,0,0,0,0,6,15,5,50,iOS,cpc,Display,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
108,GA10831022.1590457627,10,8.8,1.8,0,0,0,0,5,28,15,56,Android,organic,Organic Search,Quebec,Chrome,mobile,Normal,Normal,Normal,Normal,Hesistant Customer
109,GA1063910247.1592877785,4,7.0,2.0,0,0,0,0,6,22,19,3,Android,organic,Organic Search,Quebec,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
110,GA1114733233.1591654809,2,1.0,1.0,0,0,0,0,6,8,15,20,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
111,GA1043561249.1591845575,2,1.0,1.0,0,0,0,0,6,10,20,19,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
112,GA1070765234.1591462883,136,7.588235294117647,2.3970588235294117,0,0,0,0,6,13,16,31,iOS,(none),Direct,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Window Shoppers
113,GA1188675257.1593206446,2,2.0,1.0,0,0,0,0,6,26,14,20,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
114,GA1185729383.1591213157,24,6.75,2.125,0,0,0,0,6,3,12,47,Windows,organic,Organic Search,Ontario,Chrome,desktop,Window,Window,Normal,Window,Window Shoppers
115,GA1005396285.1592328088,2,1.0,1.0,0,0,0,0,6,16,10,21,iOS,cpc,Display,Alberta,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
116,GA1226361972.1593980200,28,11.357142857142858,2.2142857142857144,0,0,0,0,7,5,13,30,iOS,organic,Organic Search,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Hesistant Customer
117,GA1210853848.1599344535,12,22.833333333333332,1.3333333333333333,0,0,0,0,9,5,15,30,Macintosh,cpc,Paid Search,New York,Safari,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
118,GA1154021641.1599425074,124,10.790322580645162,1.3225806451612903,0,10,10,0,9,6,17,44,Android,organic,Organic Search,New Brunswick,Chrome,mobile,Window,Buyer,Hesistant,Hesistant,Hesistant Customer
119,GA1077162390.1598554127,10,6.8,2.0,0,0,0,0,8,27,11,52,Windows,cpc,Paid Search,Ontario,Edge,desktop,Normal,Normal,Normal,Normal,Other Customers
120,GA1038239593.1595818082,4,5.0,2.0,0,0,0,0,7,26,19,49,iOS,cpc,Paid Search,Alberta,Safari,tablet,Normal,Normal,Normal,Normal,Other Customers
121,GA1063344036.1595894855,37,6.594594594594595,2.5675675675675675,0,0,0,0,7,27,18,1,Android,cpc,Paid Search,Ontario,Chrome,mobile,Window,Window,Normal,Window,Window Shoppers
122,GA1188234357.1597975333,4,6.5,2.0,0,0,0,0,8,20,19,3,Chrome OS,organic,Organic Search,Alberta,Chrome,desktop,Normal,Normal,Normal,Normal,Other Customers
123,GA1076814971.1592485487,10,7.0,2.0,0,0,0,0,6,18,6,8,Windows,organic,Organic Search,Quebec,Chrome,desktop,Normal,Normal,Normal,Normal,Other Customers
124,GA1021118459.1595434071,4,3.0,1.0,0,0,0,0,7,22,9,8,Macintosh,organic,Organic Search,Ontario,Safari,desktop,Normal,Normal,Normal,Normal,Other Customers
125,GA115051335.1594070418,2,1.0,1.0,0,0,0,0,7,6,14,20,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
126,GA1069283295.1597630499,4,3.5,1.0,0,0,0,0,8,16,19,15,Macintosh,organic,Organic Search,(not set),Safari,desktop,Normal,Normal,Normal,Normal,Other Customers
127,GA1173072803.1595135572,8,6.25,1.0,0,0,0,0,7,19,9,8,iOS,cpc,Paid Search,Alberta,Safari,tablet,Normal,Normal,Normal,Normal,Other Customers
128,GA1071872929.1599713509,4,2.0,1.5,0,0,0,0,9,9,21,52,Macintosh,cpc,Paid Search,Ontario,Safari,desktop,Normal,Normal,Normal,Normal,Other Customers
129,GA1038953096.1595092748,4,7.0,1.5,0,0,0,0,7,18,10,20,iOS,(none),Direct,British Columbia,Safari,tablet,Normal,Normal,Normal,Normal,Other Customers
130,GA109719582.1597179262,2,0.0,1.0,0,0,0,0,8,11,13,54,iOS,(none),Direct,British Columbia,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
131,GA1231871225.1593108333,2,5.0,2.0,0,0,0,0,6,25,11,5,iOS,organic,Organic Search,Quebec,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
132,GA1003680381.1591041613,10,118.6,0.6,0,0,0,0,6,1,13,30,Android,organic,Organic Search,Quebec,Chrome,mobile,Normal,Normal,Normal,Normal,Hesistant Customer
133,GA1223770587.1591714722,10,14.6,1.2,0,0,0,0,6,9,8,5,Macintosh,organic,Organic Search,Quebec,Safari,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
134,GA1066887430.1594062774,63,12.285714285714286,2.2857142857142856,0,9,0,0,7,6,12,20,Macintosh,(none),Direct,Manitoba,Safari,desktop,Window,Buyer,Hesistant,Hesistant,Hesistant Customer
135,GA1145016396.1595015695,8,3.75,1.25,0,0,0,0,7,22,12,23,Macintosh,referral,Referral,Quebec,Safari,desktop,Normal,Normal,Normal,Normal,Other Customers
136,GA117274029.1595284138,18,8.5,2.0,0,0,0,0,7,20,15,34,Windows,organic,Organic Search,Quebec,Edge,desktop,Window,Window,Normal,Window,Other Customers
137,GA1032931603.1591921953,2,2.0,1.0,0,0,0,0,6,11,17,32,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
138,GA1008945058.1596839094,2,0.0,1.0,0,0,0,0,8,7,15,24,Android,organic,Organic Search,Ontario,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
139,GA1177206026.1599335749,2,0.0,1.0,0,0,0,0,9,5,12,55,iOS,cpc,Paid Search,Quebec,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
140,GA1116236530.1595302387,2,8.0,2.0,0,0,0,0,7,20,20,33,iOS,cpc,Paid Search,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
141,GA1223592192.1576993543,58,8.862068965517242,1.3448275862068966,0,10,10,0,7,20,7,54,iOS,referral,Social,Ontario,Safari (in-app),mobile,Window,Buyer,Hesistant,Hesistant,Hesistant Customer
142,GA1205603873.1592218035,2,1.0,1.0,0,0,0,0,6,15,3,47,iOS,cpc,Display,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
143,GA1178457889.1591188025,2,1.0,1.0,0,0,0,0,6,3,5,40,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
144,GA1184331176.1593215512,16,9.625,1.75,0,0,0,0,6,26,16,58,iOS,cpc,Paid Search,Ontario,Safari,mobile,Normal,Normal,Normal,Normal,Hesistant Customer
145,GA1070128409.1584226234,2,0.0,1.0,0,0,0,0,7,28,5,47,iOS,referral,Social,Nova Scotia,Safari (in-app),tablet,Normal,Normal,Normal,Normal,Other Customers
146,GA1212135576.1595376356,20,9.3,1.6,0,0,0,0,7,27,18,56,Macintosh,organic,Organic Search,Quebec,Safari,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
147,GA1025593122.1595202650,6,9.666666666666666,1.0,0,0,0,0,7,19,16,52,iOS,organic,Organic Search,Alberta,Chrome,tablet,Normal,Normal,Normal,Normal,Hesistant Customer
148,GA1098668219.1598185708,66,8.318181818181818,1.5454545454545454,0,9,0,0,9,8,11,59,Windows,cpc,Paid Search,Ontario,Chrome,desktop,Window,Window,Normal,Window,Hesistant Customer
149,GA1153532265.1596500774,21,3.3333333333333335,2.3333333333333335,0,14,0,0,8,4,21,6,iOS,(none),Direct,Ontario,Safari,mobile,Normal,Buyer,Hesistant,Hesistant,Hesistant Customer
